60,0,0,0.80,测试数据,2025-04-02 09:13:25
59,0,0,0.70,测试数据,2025-04-01 20:02:14
58,1,1,0.40,测试数据,2025-04-01 19:51:03
57,0,0,0.90,测试数据,2025-04-01 18:40:52
56,1,1,0.50,测试数据,2025-04-01 17:29:41
55,0,0,0.80,测试数据,2025-04-01 16:18:30
54,0,0,0.70,测试数据,2025-04-01 15:07:29
53,1,1,0.60,测试数据,2025-04-01 14:56:18
52,0,0,0.90,测试数据,2025-04-01 13:45:07
51,1,1,0.40,测试数据,2025-04-01 12:34:56
50,0,0,0.80,测试数据,2025-04-01 11:23:45
49,1,0,0.02,测试数据,2025-04-05 01:48:14
48,0,0,0.70,测试数据,2025-04-05 00:47:51
47,1,0,0.60,测试数据,2025-04-04 23:07:34
46,0,0,0.90,测试数据,2025-04-04 22:06:53
45,1,0,0.01,测试数据,2025-04-04 21:22:36
44,0,0,0.80,测试数据,2025-04-04 20:41:09
43,1,0,0.50,测试数据,2025-04-04 19:01:23
42,0,0,0.70,测试数据,2025-04-04 18:01:13
41,1,0,0.60,测试数据,2025-04-04 17:01:01
40,0,0,0.90,测试数据,2025-04-04 16:27:43
39,1,0,0.40,测试数据,2025-04-04 15:07:04
38,0,0,0.80,测试数据,2025-04-04 14:08:35
37,1,1,0.50,测试数据,2025-04-03 13:57:42
36,0,0,0.70,测试数据,2025-04-03 12:33:13
35,1,1,0.60,测试数据,2025-04-03 11:34:56
34,0,0,0.90,测试数据,2025-04-03 10:34:56
33,1,1,0.40,测试数据,2025-04-03 09:34:22
32,0,0,0.80,测试数据,2025-04-03 08:58:02
31,1,1,0.50,测试数据,2025-04-03 07:58:02
30,0,0,0.70,测试数据,2025-04-03 06:51:57
29,1,1,0.60,测试数据,2025-04-03 05:51:57
28,0,0,0.90,测试数据,2025-04-03 04:51:36
27,1,1,0.40,测试数据,2025-04-03 03:48:51
26,0,0,0.80,测试数据,2025-04-03 02:48:14
25,1,1,0.50,测试数据,2025-04-03 01:47:51
24,0,0,0.70,测试数据,2025-04-03 00:07:34
23,1,1,0.60,测试数据,2025-04-02 23:06:53
22,0,0,0.90,测试数据,2025-04-02 22:22:36
21,1,1,0.40,测试数据,2025-04-02 21:41:09
20,0,0,0.80,测试数据,2025-04-02 20:01:23
19,1,1,0.50,测试数据,2025-04-02 19:01:13
18,0,0,0.70,测试数据,2025-04-02 18:01:01
17,1,1,0.60,测试数据,2025-04-02 17:27:43
16,0,0,0.90,测试数据,2025-04-02 16:07:04
15,1,1,0.40,测试数据,2025-04-02 15:08:35
14,0,0,0.80,测试数据,2025-04-01 14:41:32
13,1,0,0.50,测试数据,2025-04-01 13:23:00
12,0,0,0.70,测试数据,2025-04-01 12:41:52
11,1,0,0.60,测试数据,2025-04-01 11:41:52
10,0,0,0.90,测试数据,2025-04-01 10:55:52
9,1,1,0.30,测试数据,2025-04-01 09:56:00
8,0,0,0.80,测试数据,2025-04-01 08:22:30
7,1,1,0.50,测试数据,2025-04-01 07:22:30
6,0,0,0.70,测试数据,2025-04-01 06:40:55
5,1,0,0.40,测试数据,2025-04-01 05:15:15
4,0,0,0.90,测试数据,2025-04-01 04:19:04
3,1,0,0.60,测试数据,2025-04-01 03:30:08
2,0,0,0.80,测试数据,2025-04-01 02:42:14
1,1,0,0.30,测试数据,2025-04-01 01:53:15
0,0,0,0.50,测试数据,2025-04-01 00:17:44
7638,0,1,1.80,包裹保存费,2025-04-05 21:58:03
1745,0,2,2.16,包裹上门取件费,2025-04-05 21:58:03
