1911,2888,2,3,2,2,20000.00,G14620003,4338,1,2025-04-14 23:58:20,无
9397,2888,2,1,2,2,123123.00,G14960004,4338,0,2025-04-14 23:58:58,无
1837,2888,1,1,1,1,111.00,F14390005,8833,0,2025-04-14 23:59:08,无
9729,2888,2,3,2,1,333.00,G14810006,4338,0,2025-04-14 23:59:21,无
4097,2888,3,4,0,3,22.00,D14500007,-1,2,2025-04-14 23:59:39,损坏
4620,2888,0,0,1,2,3321.00,F14250008,8833,0,2025-04-14 23:59:59,无
3347,2888,2,0,0,3,22.00,C15460001,5325,0,2025-04-15 00:00:33,无
5273,2888,2,1,1,1,111.00,F15220002,-1,2,2025-04-15 00:00:53,丢失
3925,2888,3,2,1,3,223.00,F15580003,8833,0,2025-04-15 00:01:04,无
5680,2888,2,3,1,2,111.00,F15930004,8833,1,2025-04-15 00:01:15,无
